"county","year","income_bracket","housing_burden","share","source"
"San Francisco","2,024","$100,000 or more","20% to 24% of income","0.16269800715","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$100,000 or more","25% to 29% of income","0.09131989958","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$100,000 or more","30% to 34% of income","0.05516873653","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$100,000 or more","35% to 39% of income","0.03645331141","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$100,000 or more","40% to 49% of income","0.02870409455","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$100,000 or more","At least 50% of income","0.02478505254","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","Less than 20% of income","0","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","20% to 24% of income","0","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","25% to 29% of income","0","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","30% to 34% of income","0","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","35% to 39% of income","0","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","40% to 49% of income","0.05018331806","ACS_B25074_B25095_1YR"
"San Mateo","2,024","Less than $10,000","At least 50% of income","0.94981668194","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","Less than 20% of income","0.06233893729","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","20% to 24% of income","0.01497116211","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","25% to 29% of income","0.057553074","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","30% to 34% of income","0.0584120751","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","35% to 39% of income","0.02650631979","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","40% to 49% of income","0.06761565836","ACS_B25074_B25095_1YR"
"San Mateo","2,024","$10,000 to $20,000","At least 50% of income","0.71260277335","ACS_B25074_B25095_1YR"
