"county","year","household_type","housing_burden","share","source"
"Contra Costa","2,014","All","At least 35% of income","0.30954403554","ACS_B25074_B25095_1YR"
"Marin","2,014","All","At least 35% of income","0.33071466028","ACS_B25074_B25095_1YR"
"Napa","2,014","All","At least 35% of income","0.32686798759","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,014","All","At least 35% of income","0.31537054807","ACS_B25074_B25095_1YR"
"San Mateo","2,014","All","At least 35% of income","0.30410702214","ACS_B25074_B25095_1YR"
"Santa Clara","2,014","All","At least 35% of income","0.30656145636","ACS_B25074_B25095_1YR"
"Solano","2,014","All","At least 35% of income","0.30698966317","ACS_B25074_B25095_1YR"
"Sonoma","2,014","All","At least 35% of income","0.32665223564","ACS_B25074_B25095_1YR"
"Alameda","2,015","All","Less than 20% of income","0.35162664373","ACS_B25074_B25095_1YR"
"Contra Costa","2,015","All","Less than 20% of income","0.36762171085","ACS_B25074_B25095_1YR"
"Marin","2,015","All","Less than 20% of income","0.3948656555","ACS_B25074_B25095_1YR"
"Napa","2,015","All","Less than 20% of income","0.3691186351","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,015","All","Less than 20% of income","0.40131460785","ACS_B25074_B25095_1YR"
"San Mateo","2,015","All","Less than 20% of income","0.36947054332","ACS_B25074_B25095_1YR"
"Santa Clara","2,015","All","Less than 20% of income","0.38893744799","ACS_B25074_B25095_1YR"
"Solano","2,015","All","Less than 20% of income","0.34247506165","ACS_B25074_B25095_1YR"
"Sonoma","2,015","All","Less than 20% of income","0.35978340548","ACS_B25074_B25095_1YR"
"Alameda","2,015","All","20% to 34% of income","0.33379789324","ACS_B25074_B25095_1YR"
"Contra Costa","2,015","All","20% to 34% of income","0.3296178261","ACS_B25074_B25095_1YR"
"Marin","2,015","All","20% to 34% of income","0.30081968004","ACS_B25074_B25095_1YR"
"Napa","2,015","All","20% to 34% of income","0.31927845756","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,015","All","20% to 34% of income","0.30819413786","ACS_B25074_B25095_1YR"
"San Mateo","2,015","All","20% to 34% of income","0.31021440035","ACS_B25074_B25095_1YR"
"Santa Clara","2,015","All","20% to 34% of income","0.31845113306","ACS_B25074_B25095_1YR"
"Solano","2,015","All","20% to 34% of income","0.33205839498","ACS_B25074_B25095_1YR"
"Sonoma","2,015","All","20% to 34% of income","0.31011862403","ACS_B25074_B25095_1YR"
"Alameda","2,015","All","At least 35% of income","0.31457546303","ACS_B25074_B25095_1YR"
"Contra Costa","2,015","All","At least 35% of income","0.30276046305","ACS_B25074_B25095_1YR"
"Marin","2,015","All","At least 35% of income","0.30431466445","ACS_B25074_B25095_1YR"
"Napa","2,015","All","At least 35% of income","0.31160290734","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,015","All","At least 35% of income","0.29049125429","ACS_B25074_B25095_1YR"
"San Mateo","2,015","All","At least 35% of income","0.32031505633","ACS_B25074_B25095_1YR"
"Santa Clara","2,015","All","At least 35% of income","0.29261141895","ACS_B25074_B25095_1YR"
"Solano","2,015","All","At least 35% of income","0.32546654338","ACS_B25074_B25095_1YR"
"Sonoma","2,015","All","At least 35% of income","0.3300979705","ACS_B25074_B25095_1YR"
"Alameda","2,016","All","Less than 20% of income","0.36562472534","ACS_B25074_B25095_1YR"
"Contra Costa","2,016","All","Less than 20% of income","0.37916643915","ACS_B25074_B25095_1YR"
"Marin","2,016","All","Less than 20% of income","0.36408296943","ACS_B25074_B25095_1YR"
"Napa","2,016","All","Less than 20% of income","0.35902571261","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,016","All","Less than 20% of income","0.42907894963","ACS_B25074_B25095_1YR"
"San Mateo","2,016","All","Less than 20% of income","0.3816023119","ACS_B25074_B25095_1YR"
"Santa Clara","2,016","All","Less than 20% of income","0.38705803483","ACS_B25074_B25095_1YR"
"Solano","2,016","All","Less than 20% of income","0.35192738514","ACS_B25074_B25095_1YR"
"Sonoma","2,016","All","Less than 20% of income","0.36775091301","ACS_B25074_B25095_1YR"
"Alameda","2,016","All","20% to 34% of income","0.33505884126","ACS_B25074_B25095_1YR"
"Contra Costa","2,016","All","20% to 34% of income","0.3105220871","ACS_B25074_B25095_1YR"
"Marin","2,016","All","20% to 34% of income","0.29622500575","ACS_B25074_B25095_1YR"
"Napa","2,016","All","20% to 34% of income","0.31975885578","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,016","All","20% to 34% of income","0.28976585215","ACS_B25074_B25095_1YR"
"San Mateo","2,016","All","20% to 34% of income","0.31538285962","ACS_B25074_B25095_1YR"
"Santa Clara","2,016","All","20% to 34% of income","0.33088004784","ACS_B25074_B25095_1YR"
"Solano","2,016","All","20% to 34% of income","0.34414430364","ACS_B25074_B25095_1YR"
"Sonoma","2,016","All","20% to 34% of income","0.30855920271","ACS_B25074_B25095_1YR"
"Alameda","2,016","All","At least 35% of income","0.2993164334","ACS_B25074_B25095_1YR"
"Contra Costa","2,016","All","At least 35% of income","0.31031147375","ACS_B25074_B25095_1YR"
"Marin","2,016","All","At least 35% of income","0.33969202482","ACS_B25074_B25095_1YR"
"Napa","2,016","All","At least 35% of income","0.32121543161","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,016","All","At least 35% of income","0.28115519822","ACS_B25074_B25095_1YR"
"San Mateo","2,016","All","At least 35% of income","0.30301482848","ACS_B25074_B25095_1YR"
"Santa Clara","2,016","All","At least 35% of income","0.28206191732","ACS_B25074_B25095_1YR"
"Solano","2,016","All","At least 35% of income","0.30392831121","ACS_B25074_B25095_1YR"
"Sonoma","2,016","All","At least 35% of income","0.32368988428","ACS_B25074_B25095_1YR"
"Alameda","2,017","All","Less than 20% of income","0.36100227807","ACS_B25074_B25095_1YR"
"Contra Costa","2,017","All","Less than 20% of income","0.36628923846","ACS_B25074_B25095_1YR"
"Marin","2,017","All","Less than 20% of income","0.36929693343","ACS_B25074_B25095_1YR"
"Napa","2,017","All","Less than 20% of income","0.38386605157","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,017","All","Less than 20% of income","0.4447685504","ACS_B25074_B25095_1YR"
"San Mateo","2,017","All","Less than 20% of income","0.38281509009","ACS_B25074_B25095_1YR"
"Santa Clara","2,017","All","Less than 20% of income","0.38838597532","ACS_B25074_B25095_1YR"
"Solano","2,017","All","Less than 20% of income","0.35979625889","ACS_B25074_B25095_1YR"
"Sonoma","2,017","All","Less than 20% of income","0.35489304089","ACS_B25074_B25095_1YR"
"Alameda","2,017","All","20% to 34% of income","0.3442625873","ACS_B25074_B25095_1YR"
"Contra Costa","2,017","All","20% to 34% of income","0.32439392315","ACS_B25074_B25095_1YR"
"Marin","2,017","All","20% to 34% of income","0.31265992206","ACS_B25074_B25095_1YR"
"Napa","2,017","All","20% to 34% of income","0.3192602356","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,017","All","20% to 34% of income","0.28914836338","ACS_B25074_B25095_1YR"
"San Mateo","2,017","All","20% to 34% of income","0.31764597035","ACS_B25074_B25095_1YR"
"Santa Clara","2,017","All","20% to 34% of income","0.32207125857","ACS_B25074_B25095_1YR"
"Solano","2,017","All","20% to 34% of income","0.3358553276","ACS_B25074_B25095_1YR"
"Sonoma","2,017","All","20% to 34% of income","0.3224316274","ACS_B25074_B25095_1YR"
"Alameda","2,017","All","At least 35% of income","0.29473513463","ACS_B25074_B25095_1YR"
"Contra Costa","2,017","All","At least 35% of income","0.30931683839","ACS_B25074_B25095_1YR"
"Marin","2,017","All","At least 35% of income","0.31804314451","ACS_B25074_B25095_1YR"
"Napa","2,017","All","At least 35% of income","0.29687371283","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,017","All","At least 35% of income","0.26608308622","ACS_B25074_B25095_1YR"
"San Mateo","2,017","All","At least 35% of income","0.29953893956","ACS_B25074_B25095_1YR"
"Santa Clara","2,017","All","At least 35% of income","0.28954276611","ACS_B25074_B25095_1YR"
"Solano","2,017","All","At least 35% of income","0.30434841351","ACS_B25074_B25095_1YR"
"Sonoma","2,017","All","At least 35% of income","0.32267533171","ACS_B25074_B25095_1YR"
"Alameda","2,018","All","Less than 20% of income","0.37661586126","ACS_B25074_B25095_1YR"
"Contra Costa","2,018","All","Less than 20% of income","0.3915150862","ACS_B25074_B25095_1YR"
"Marin","2,018","All","Less than 20% of income","0.38481675393","ACS_B25074_B25095_1YR"
"Napa","2,018","All","Less than 20% of income","0.37741023224","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,018","All","Less than 20% of income","0.45438969983","ACS_B25074_B25095_1YR"
"San Mateo","2,018","All","Less than 20% of income","0.40622673835","ACS_B25074_B25095_1YR"
"Santa Clara","2,018","All","Less than 20% of income","0.41158454151","ACS_B25074_B25095_1YR"
"Solano","2,018","All","Less than 20% of income","0.37651996126","ACS_B25074_B25095_1YR"
"Sonoma","2,018","All","Less than 20% of income","0.36627062096","ACS_B25074_B25095_1YR"
"Alameda","2,018","All","20% to 34% of income","0.32987251166","ACS_B25074_B25095_1YR"
"Contra Costa","2,018","All","20% to 34% of income","0.31964169791","ACS_B25074_B25095_1YR"
"Marin","2,018","All","20% to 34% of income","0.29688422627","ACS_B25074_B25095_1YR"
"Napa","2,018","All","20% to 34% of income","0.33541863056","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,018","All","20% to 34% of income","0.2791127019","ACS_B25074_B25095_1YR"
"San Mateo","2,018","All","20% to 34% of income","0.29073078514","ACS_B25074_B25095_1YR"
"Santa Clara","2,018","All","20% to 34% of income","0.30966638152","ACS_B25074_B25095_1YR"
"Solano","2,018","All","20% to 34% of income","0.34912030561","ACS_B25074_B25095_1YR"
"Sonoma","2,018","All","20% to 34% of income","0.31583330158","ACS_B25074_B25095_1YR"
"Alameda","2,018","All","At least 35% of income","0.29351162708","ACS_B25074_B25095_1YR"
"Contra Costa","2,018","All","At least 35% of income","0.28884321589","ACS_B25074_B25095_1YR"
"Marin","2,018","All","At least 35% of income","0.3182990198","ACS_B25074_B25095_1YR"
"Napa","2,018","All","At least 35% of income","0.2871711372","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,018","All","At least 35% of income","0.26649759827","ACS_B25074_B25095_1YR"
"San Mateo","2,018","All","At least 35% of income","0.30304247652","ACS_B25074_B25095_1YR"
"Santa Clara","2,018","All","At least 35% of income","0.27874907697","ACS_B25074_B25095_1YR"
"Solano","2,018","All","At least 35% of income","0.27435973313","ACS_B25074_B25095_1YR"
"Sonoma","2,018","All","At least 35% of income","0.31789607746","ACS_B25074_B25095_1YR"
"Alameda","2,019","All","Less than 20% of income","0.38225018688","ACS_B25074_B25095_1YR"
"Contra Costa","2,019","All","Less than 20% of income","0.41090643948","ACS_B25074_B25095_1YR"
"Marin","2,019","All","Less than 20% of income","0.37720358119","ACS_B25074_B25095_1YR_5YR"
"Napa","2,019","All","Less than 20% of income","0.38290764985","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,019","All","Less than 20% of income","0.46770349368","ACS_B25074_B25095_1YR"
"San Mateo","2,019","All","Less than 20% of income","0.44653926017","ACS_B25074_B25095_1YR"
"Santa Clara","2,019","All","Less than 20% of income","0.43714112452","ACS_B25074_B25095_1YR"
"Solano","2,019","All","Less than 20% of income","0.37486846304","ACS_B25074_B25095_1YR"
"Sonoma","2,019","All","Less than 20% of income","0.36484705781","ACS_B25074_B25095_1YR"
"Alameda","2,019","All","20% to 34% of income","0.32656094539","ACS_B25074_B25095_1YR"
"Contra Costa","2,019","All","20% to 34% of income","0.3058612838","ACS_B25074_B25095_1YR"
"Marin","2,019","All","20% to 34% of income","0.29480450026","ACS_B25074_B25095_1YR_5YR"
"Napa","2,019","All","20% to 34% of income","0.30358736021","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,019","All","20% to 34% of income","0.29327793608","ACS_B25074_B25095_1YR"
